Accepted Product ID,Product Type,Method(s),Activity Definition,Brand,Model Number,Driver Brand (if declared article),Driver Model Number (if declared article),Lifetime in hours (if applicable) 	,Strip light length in meters (if applicable) ,Light output (lm) (if applicable) ,Accepted LCP/NLP Value,AS/NZS4234 version,Zone 3 System Size,Zone 3 Peak Load (MJ/day) ,Zone 3 Annual Energy Savings %,Zone 3 Bs (GJ/year) ,Zone 3 Be (GJ/year),Zone 3 HPelec (GJ/year),Zone 3 HPgas (GJ/year),Zone 3 RefElec (GJ/year),Zone 5 System Size ,Zone 5 Peak Load (MJ/day) ,Zone 5 Annual Energy Savings % ,Zone 5 Bs (GJ/year) ,Zone 5 Be (GJ/year),Zone 5 HPelec (GJ/year),Zone 5 HPgas (GJ/year),Zone 5 RefElec (GJ/year),No. of hot water tank(s) ,Tank Model Number ,Tank Size (L) ,Pre-heat tank model number(s),Finishing tank model number(s) ,Pre-heat tank volume (L) ,Finishing tank volume (L) ,Total system tank volume (L) ,Collector Type,Collector Model Number,No. of collectors,No. of  heat pump(s),Heat pump unit model number(s) ,Total heat pump thermal capacity (kW) ,System booster type ,Booster model number(s) ,Total thermal capacity (kW),System Type,Refrigerant type (GWP),Refrigerant charge (kg),AS/NZS 2712 Certificate Expiry,Limitations,Effective From,Effective To,Status
ACC0016128,LED Luminaires - Linear Lamp,Commercial Lighting,,3A Lighting,LED/BT/22W/DL,,,,,,21.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2022-08-17,,Active
ACC0024860,LED Luminaires - Recessed,HEER,E1,3A Lighting,3A-DL1196-TC WH Tri-Colour,,,,,,6.92,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-07-23,,Active
ACC0016341,LED Luminaires - Recessed,Commercial Lighting,,3A Lighting,LPB new/40W 1200X300,LIFUD,LF-GIR040YM0900H,,,,35.43,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0015973,LED Luminaires - Recessed,Commercial Lighting,,3A Lighting,3A-DL1196-TC WH Tri-Colour,,,,,,7.07,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-07-05,,Active
ACC0016346,LED Luminaires - Recessed,Commercial Lighting,,3A Lighting,LPB new 40W 1200X300 WH/TC,Mingfirst Power,MIHN2036YB-C0900A,,,,35.58,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0016424,LED Luminaires - Linear Lamp,Commercial Lighting,,3A Lighting,LED/BT/40W/TC/Tri-Power,,,,,,40.95,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2022-08-30,,Active
ACC0015536,LED Lamp and Driver,Commercial Lighting,,3G Energy Solutions,NXG-C1-CL59-6-18W,3G Energy Solutions,NXG-C1-G18500-01,,,,17.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015727,LED Luminaires - High/Low Bay,Commercial Lighting,,3G Energy Solutions,NXG-C5-HB1-150W,,,,,,150.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-10-04,,Active
ACC0015596,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL301200-33W-G3,3G Energy Solutions,NXG-C1-450105-N6,,,,32.43,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015580,LED Lamp and Driver,Commercial Lighting,,3G Energy Solutions,NXG-C1-CL59-8-25W,3G Energy Solutions,NXG-C1-G25700-01,,,,25.58,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015602,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL6060-33W-G3,3G Energy Solutions,NXG-C1-450105-N6,,,,34.55,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015603,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL30120-33W-G3,3G Energy Solutions,NXG-C1-L4-800mA-35W,,,,35.08,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015619,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL30120-36W-S3,3G Energy Solutions,NXG-C1-L4-800mA-35W,,,,37.71,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015611,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL6060-36W-S3,3G Energy Solutions,NXG-C1-L4-800mA-35W,,,,36.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0012861,LED Luminaires - Linear Lamp,Commercial Lighting,,3S,111002,,,,,,25.96,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-08-20,,Active
ACC0023366,LED Luminaires - Fixed Type,Commercial Lighting,,3S Lighting Pty,90000.343 LED,,,,,,39.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-08-07,,Active
ACC0016854,LED Luminaires - High/Low Bay,Commercial Lighting,,A-UNIQUE,AU02-HB240W,,,,,,243.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-04-12,,Active
ACC0016769,LED Luminaires - High/Low Bay,Commercial Lighting,,A-UNIQUE,AU02-HB150W,,,,,,153.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-04-12,,Active
ACC0012743,LED Luminaires - Recessed,Commercial Lighting,,A2-ECO,ECO-DL-4W-CCT,,,54000.0,,,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-09,,Active
ACC0025481,LED Luminaires - Recessed,HEER,E1,A2-ECO,ECO-DL-4W-CCT,,,54000.0,,488.0,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-19,,Active
ACC0015971,LED Luminaires - High/Low Bay,Commercial Lighting,,AC Lighting,AC-LED-160W,MEANWELL,HLG-150H-48A,,,,160.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-11-25,,Active
ACC0019365,LED Luminaires - Streetlight,Commercial Lighting,,ACE,A-SAL150,,,,,,142.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-06-29,,Active
ACC0019348,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-EHB75,,,,,,75.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-03-14,,Active
ACC0019373,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-EHB180,,,,,,179.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-03-14,,Active
ACC0019353,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-EHB100,,,,,,97.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-03-14,,Active
ACC0019351,LED Luminaires - Streetlight,Commercial Lighting,,ACE,A-SAL100,,,,,,93.3,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-06-29,,Active
ACC0019379,LED Luminaires - Streetlight,Commercial Lighting,,ACE,A-SAL240,,,,,,226.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-06-29,,Active
ACC0019359,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-EHB120,,,,,,117.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-03-14,,Active
ACC0019355,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-SHB100,,,,,,98.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-06-12,,Active
ACC0019366,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-SHB150,,,,,,143.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-06-12,,Active
ACC0019372,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-SHB190,,,,,,179.3,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-06-12,,Active
ACC0019364,LED Luminaires - High/Low Bay,Commercial Lighting,,ACE,A-EHB145,,,,,,141.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-03-14,,Active
ACC0019436,LED Luminaires - Fixed Type,Commercial Lighting,,ADVANCED LIGHTING TECHNOLOGIES,XCCA0A13~4W,,,,,,125.76,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-09-10,,Active
ACC0023930,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R103-150,,,,,,152.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024044,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R107-200,,,,,,188.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024224,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R213-C-300,,,,,,281.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0023843,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R213-B-150,,,,,,132.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024055,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R213-B-200,,,,,,191.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024042,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R101-200,,,,,,188.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024225,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R105-300,,,,,,288.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0023929,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R101-150,,,,,,152.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0023931,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R107-150,,,,,,152.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024226,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R107-300,,,,,,288.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024043,Induction Luminaire,Commercial Lighting,,Adviance Energy,ADC-R105-200,,,,,,188.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0024217,Induction Luminaire,Commercial Lighting,,Adviance Technologies,ADC-R105-250W,,,,,,264.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0013524,LED Luminaires - Streetlight,Commercial Lighting,,AEC Illuminazione,ITALO 1 0F2H1 S05 4.7-1M,,,,,,21.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-20,,Active
ACC0013533,LED Luminaires - Streetlight,Commercial Lighting,,AEC Illuminazione,ITALO 1 0F2H1 S05 4.5-2M,,,,,,30.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-20,,Active
ACC0013525,LED Luminaires - Streetlight,Commercial Lighting,,AEC Illuminazione,ITALO 1 0F2H1 STU-S 4.7-1M,,,,,,21.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-20,,Active
ACC0013534,LED Luminaires - Streetlight,Commercial Lighting,,AEC Illuminazione,ITALO 1 0F2H1 STU-S 4.5-2M,,,,,,30.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-20,,Active
ACC0013535,LED Luminaires - Streetlight,Commercial Lighting,,AEC Illuminazione,ITALO 1 0F2 STA 4.5-3M,,,,,,39.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-20,,Active
ACC0014332,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,AGC-LHB01-150,,,,,,150.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-04-27,,Active
ACC0017414,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB20-200/T,,,,,,194.73,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-08-27,,Active
ACC0022508,LED Luminaires - Floodlight,Commercial Lighting,,AGC Lighting,AGC-FL01-90,,,,,,91.11,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-06-17,,Active
ACC0022504,LED Luminaires - Floodlight,Commercial Lighting,,AGC Lighting,FL02-50,,,,,,49.66,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-15,,Active
ACC0019376,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB03-200/T,,,,,,199.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-07-19,,Active
ACC0016653,LED Luminaires - Streetlight,Commercial Lighting,,AGC Lighting,UST03-100,,,,,,99.91,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0017385,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB20-100/T,,,,,,102.76,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-08-27,,Active
ACC0016590,LED Luminaires - Streetlight,Commercial Lighting,,AGC Lighting,UST03-075,,,,,,75.53,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0017407,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB20-150/T,,,,,,149.66,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-08-27,,Active
ACC0019357,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB03-100/T,,,,,,102.39,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-07-19,,Active
ACC0022505,LED Luminaires - Floodlight,Commercial Lighting,,AGC Lighting,FL02-70,,,,,,69.55,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-19,,Active
ACC0014300,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,AGC-LHB01-90,,,,,,92.05,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-04-27,,Active
ACC0014320,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,AGC-LHB01-120,,,,,,125.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-04-27,,Active
ACC0016550,LED Luminaires - Streetlight,Commercial Lighting,,AGC Lighting,UST03-060,,,,,,60.08,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0017395,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB20-120/T,,,,,,119.74,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-08-27,,Active
ACC0014308,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,AGC-HB01-100,,,,,,103.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-05-29,,Active
ACC0022513,LED Luminaires - Floodlight,Commercial Lighting,,AGC Lighting,AGC-FL01-120,,,,,,118.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-06-17,,Active
ACC0019370,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB03-150/T,,,,,,156.67,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-07-19,,Active
ACC0022518,LED Luminaires - Floodlight,Commercial Lighting,,AGC Lighting,AGC-FL01-180,,,,,,181.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-06-17,,Active
ACC0019362,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,HB03-120/T,,,,,,123.67,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-07-19,,Active
ACC0022507,LED Luminaires - Floodlight,Commercial Lighting,,AGC Lighting,FL02-90,,,,,,88.86,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-06-17,,Active
ACC0016431,LED Luminaires - Streetlight,Commercial Lighting,,AGC Lighting,UST03-040,,,,,,41.52,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0014331,LED Luminaires - High/Low Bay,Commercial Lighting,,AGC Lighting,AGC-HB01-150,,,,,,150.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-12-09,,Active
ACC0017471,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",AGC-HB01-150,,,,,,148.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-09-25,,Active
ACC0015478,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",HB06-150,,,,,,145.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-07-02,,Active
ACC0015474,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",HB06-120,,,,,,120.14,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-07-02,,Active
ACC0015470,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",HB06-100,,,,,,101.88,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-07-02,,Active
ACC0017464,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",AGC-HB01-120,,,,,,119.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-09-25,,Active
ACC0017484,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",AGC-HB01-200,,,,,,194.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-09-25,,Active
ACC0017456,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",AGC-HB01-100,,,,,,100.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-09-25,,Active
ACC0015483,LED Luminaires - High/Low Bay,Commercial Lighting,,"AGC Lighting Co.,Ltd",HB06-200,,,,,,189.14,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-07-02,,Active
ACC0023384,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG171001-W2830-47L-M-WH,,,,,,41.37,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0023541,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG161037-T4830-38L-M-WH,,,,,,71.98,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0023486,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG171001-W2830-58L-N-WH,,,,,,55.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0023528,LED Luminaires - Fixed Type,Commercial Lighting,,Aglo Systems,AG506401-WH-3K-1750MA,,,,,,63.66,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0024172,LED Luminaires - Linear Lamp,Commercial Lighting,,Aglo Systems,AG496004,,,,,,234.67,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-06-19,,Active
ACC0023298,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG171001-T4830-38L-M-WH,,,,,,36.28,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0024002,LED Luminaires - High/Low Bay,Commercial Lighting,,Aglo Systems,AG476004,,,,,,171.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0023302,LED Luminaires - Fixed Type,Commercial Lighting,,Aglo Systems,AG506401-WH-3K-1050MA,,,,,,36.36,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0022763,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG167008,Kaoyi,KPI-6F35I,,,,8.29,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-12-04,,Active
ACC0023296,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG161031-T4830-38L-M-WH,,,,,,35.97,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0014435,LED Luminaires - High/Low Bay,Commercial Lighting,,Aglo Systems,AG498002,,,,,,92.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-09-27,,Active
ACC0023300,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG189401WH-C4K36L-W-CX,,,,,,36.32,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-11-24,,Active
ACC0014436,LED Luminaires - High/Low Bay,Commercial Lighting,,Aglo Systems,AG498003,,,,,,121.55,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-09-27,,Active
ACC0023748,LED Luminaires - Linear Lamp,Commercial Lighting,,Aglo Systems,AG496002,,,,,,115.71,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-06-19,,Active
ACC0023158,LED Luminaires - Fixed Type,Commercial Lighting,,Aglo Systems,AG161071WH-4K,,,,,,27.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-03-10,,Active
ACC0022762,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG167007,Kaoyi,KPI-6F35I,,,,8.29,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-12-04,,Active
ACC0023402,LED Luminaires - Fixed Type,Commercial Lighting,,Aglo Systems,AG506401-WH-3K-1250MA,,,,,,43.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0024159,LED Luminaires - High/Low Bay,Commercial Lighting,,Aglo Systems,AG476005,,,,,,216.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-07-31,,Active
ACC0022750,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,COMET-WH-7W4K,Eaglerise,EIP008C0350LS,,,,7.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-11-10,,Active
ACC0024032,LED Luminaires - Linear Lamp,Commercial Lighting,,Aglo Systems,AG496003,,,,,,180.53,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-06-19,,Active
ACC0023373,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG170002-W2830-47L-N-WH,,,,,,40.3,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0014434,LED Luminaires - High/Low Bay,Commercial Lighting,,Aglo Systems,AG498001,,,,,,65.93,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-09-27,,Active
ACC0023454,LED Luminaires - Fixed Type,Commercial Lighting,,Aglo Systems,AG506401-WH-3K-1400MA,,,,,,50.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-08-29,,Active
ACC0023397,LED Luminaires - Recessed,Commercial Lighting,,Aglo Systems,AG189401WH-C3K42L-W-CX,,,,,,42.78,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2014-11-24,,Active
